Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2016-12-12;12.8533;12.9613;12.736;12.8287;36060195
2016-12-13;12.8787;13.4187;12.8667;13.21;99715230
2016-12-14;13.2493;13.5333;13.1173;13.246;61897860
2016-12-15;13.2273;13.3827;13.1593;13.172;47349300
2016-12-16;13.2053;13.506;13.1733;13.4993;54686025
2016-12-19;13.4993;13.63;13.3227;13.5153;51048390
2016-12-20;13.5367;13.9333;13.5;13.9193;69327735
2016-12-21;13.8967;14.1487;13.8273;13.8467;76344150
2016-12-22;13.8813;13.9993;13.7667;13.8967;45456375
2016-12-23;13.8667;14.23;13.8473;14.2227;64233720
2016-12-27;14.3253;14.8167;14.2947;14.6353;85326255
2016-12-28;14.7687;14.92;14.48;14.6493;55285500
2016-12-29;14.5707;14.6133;14.275;14.31;59207790
2016-12-30;14.42;14.5;14.112;14.246;69639300
2017-01-03;14.324;14.6887;14.064;14.466;82936545
2017-01-04;14.3167;15.2;14.2873;15.1327;166881135
2017-01-05;15.0947;15.1653;14.7967;15.1167;87832155
2017-01-06;15.1287;15.354;15.03;15.2673;81965850
2017-01-09;15.2647;15.4613;15.2;15.4187;58693575
2017-01-10;15.4667;15.4667;15.126;15.3247;53947335
2017-01-11;15.2713;15.332;15.112;15.3153;51295635
2017-01-12;15.2707;15.38;15.0387;15.306;55739910
2017-01-13;15.3333;15.8567;15.306;15.85;89985540
2017-01-17;15.78;15.9973;15.6247;15.7053;68991465
2017-01-18;15.7767;15.9807;15.7053;15.8907;55760505
2017-01-19;16.4833;16.5787;16.05;16.2507;113824620
2017-01-20;16.364;16.4;16.2007;16.3153;56689500
2017-01-23;16.39;16.726;16.3667;16.5947;89007630
2017-01-24;16.6667;16.9867;16.6433;16.974;71708985
2017-01-25;17.154;17.2307;16.7867;16.9647;76732485
2017-01-26;16.9527;17.0493;16.7167;16.834;46040775
2017-01-27;16.7587;16.8667;16.568;16.864;45627225
2017-01-30;16.8353;17.0193;16.4733;16.708;54935715
2017-01-31;16.616;17.0593;16.5133;16.7953;60792855
2017-02-01;16.87;16.88;16.6033;16.616;58836225
2017-02-02;16.556;16.828;16.514;16.7693;36269835
2017-02-03;16.794;16.812;16.6453;16.7553;32800845
2017-02-06;16.7333;17.188;16.7087;17.1847;52823175
2017-02-07;17.2127;17.3333;17.0947;17.1653;60890145
2017-02-08;17.1567;17.5573;17.08;17.472;58209900
2017-02-09;17.75;18.0787;17.7433;17.9467;115377540
2017-02-10;17.986;18.0633;17.7407;17.9487;53866905
2017-02-13;18.0493;18.7193;18.034;18.7067;103394115
2017-02-14;18.602;19.1593;18.574;18.732;107893215
2017-02-15;18.6667;18.816;18.4293;18.6507;73648380
2017-02-16;18.5067;18.6667;17.9;17.93;105339000
2017-02-17;17.72;18.1927;17.61;18.1487;91844640
2017-02-21;18.3633;18.76;18.2673;18.4927;84098850
2017-02-22;18.6873;18.8967;18.1733;18.234;111463710
2017-02-23;17.6;17.644;17.0373;17.066;222387120
